,Taille,Naif,DPR,DPRS
1,10,1.2505598715506493e-05,4.4373399578034875e-05,1.5519002045039087e-05
0,50,0.00016731740033719688,0.00032589200127404184,0.00024127579963533207
3,100,0.0006342492008116097,0.00044580639951163903,0.00045760040229652076
6,500,0.015310967800905928,0.0025735496019478887,0.0025942906009731813
2,1000,0.06136774799961131,0.00549497220054036,0.005434647599759046
5,5000,1.874940190599591,0.030811775599431712,0.030816721000883264
7,10000,7.4036665834020825,0.06434928639937425,0.06364093880110885
4,50000,193.5231749364015,0.3527787505998276,0.35061864600138504
